time	Ix(U2:Ano)	Ix(U3:Cath)
3.388984999994293e-06	-7.711808e-09	-1.043512e-08
3.399224999994142e-06	-7.441063e-09	-1.006897e-08
3.409464999993991e-06	-7.179825e-09	-9.715666e-09
3.419704999993840e-06	-6.927762e-09	-9.374760e-09
3.429944999993689e-06	-6.684552e-09	-9.045817e-09
3.440184999993538e-06	-6.449882e-09	-8.728417e-09
3.450424999993387e-06	-6.223454e-09	-8.422157e-09
3.460664999993236e-06	-6.004977e-09	-8.126642e-09
3.470904999993085e-06	-5.794173e-09	-7.841500e-09
3.481144999992934e-06	-5.590770e-09	-7.566363e-09
3.491384999992783e-06	-5.394511e-09	-7.300882e-09
3.501624999992632e-06	-5.205141e-09	-7.044716e-09
3.511864999992481e-06	-5.022423e-09	-6.797542e-09
3.522104999992330e-06	-4.846120e-09	-6.559040e-09
3.532344999992179e-06	-4.676007e-09	-6.328909e-09
3.542584999992028e-06	-4.511867e-09	-6.106854e-09
3.552824999991877e-06	-4.353490e-09	-5.892591e-09
3.563064999991726e-06	-4.200674e-09	-5.685848e-09
3.573304999991575e-06	-4.053223e-09	-5.486360e-09
3.583544999991424e-06	-3.910950e-09	-5.293873e-09
3.593784999991273e-06	-3.773671e-09	-5.108141e-09
3.604024999991122e-06	-3.641212e-09	-4.928927e-09
3.614264999990971e-06	-3.513404e-09	-4.756003e-09
3.624504999990820e-06	-3.390082e-09	-4.589147e-09
3.634744999990669e-06	-3.271091e-09	-4.428147e-09
3.644984999990518e-06	-3.156276e-09	-4.272797e-09
3.655224999990366e-06	-3.045492e-09	-4.122898e-09
3.665464999990215e-06	-2.938598e-09	-3.978261e-09
3.675704999990064e-06	-2.835456e-09	-3.838700e-09
3.685944999989913e-06	-2.735935e-09	-3.704036e-09
3.696184999989762e-06	-2.639907e-09	-3.574098e-09
3.706424999989611e-06	-2.547252e-09	-3.448721e-09
3.716664999989460e-06	-2.457848e-09	-3.327743e-09
3.726904999989309e-06	-2.371583e-09	-3.211011e-09
3.737144999989158e-06	-2.288346e-09	-3.098376e-09
3.747384999989007e-06	-2.208031e-09	-2.989694e-09
3.757624999988856e-06	-2.130536e-09	-2.884826e-09
